systemId,seconds,corePowerMw,sgALevelPercent,turbineElectricMw
unit-3,80,2707.98,58.27,721.53
unit-3,85,2707.70,58.11,721.55
unit-3,90,2707.49,57.96,721.51
unit-3,95,2707.33,57.81,721.53
unit-3,100,2707.21,57.67,721.54
unit-3,105,2707.12,57.54,721.50
unit-3,110,2707.04,57.41,721.53
unit-3,115,2706.99,57.29,721.54
unit-3,120,2706.95,57.17,721.51
unit-3,125,2706.92,57.06,721.54
unit-3,130,2706.90,56.96,721.54
unit-3,135,2706.88,56.86,721.51
unit-3,140,2706.87,56.74,714.54
unit-3,145,2706.86,56.53,700.14
unit-3,150,2706.85,56.27,686.28
unit-3,155,2706.85,55.97,673.36
unit-3,160,2706.85,55.69,658.68
unit-3,165,2706.85,55.41,645.50
unit-3,170,2706.84,55.15,634.70
unit-3,175,2706.85,54.90,626.13
unit-3,180,2706.85,54.64,619.34
unit-3,185,2706.85,54.39,613.88
unit-3,190,2706.85,54.14,609.62
unit-3,195,2706.85,53.89,606.35
unit-3,200,2706.85,53.66,603.85
unit-3,205,2706.85,53.44,601.96
unit-3,210,2706.86,53.24,600.53
unit-3,215,2706.86,53.04,599.44
unit-3,220,2706.86,52.86,598.62
unit-3,225,2706.86,52.68,598.00
unit-3,230,2706.87,52.52,597.53
unit-3,235,2706.87,52.36,597.17
unit-3,240,2706.87,52.22,596.90
unit-3,245,2706.87,52.08,596.70
unit-3,250,2706.88,51.95,596.54
unit-3,255,2706.88,51.83,596.43
unit-3,260,2706.88,51.72,596.34
unit-3,265,2706.88,51.61,596.27
unit-3,270,2706.89,51.50,596.22
unit-3,275,2706.89,51.41,596.18
unit-3,280,2706.89,51.32,596.15
unit-3,285,2706.89,51.23,596.13
unit-3,290,2706.90,51.15,596.11
unit-3,295,2706.90,51.07,596.10
unit-3,300,2706.90,51.00,596.09
unit-4,0,2890.00,55.00,935.00
unit-4,5,2825.02,57.20,653.42
unit-4,10,2784.29,58.51,595.63
unit-4,15,2759.33,59.27,612.98
unit-4,20,2743.44,59.64,650.38
unit-4,25,2732.98,59.76,689.01
unit-4,30,2725.85,59.73,713.55
unit-4,35,2720.87,59.67,719.23
unit-4,40,2717.30,59.56,721.10
unit-4,45,2714.70,59.42,721.62
unit-4,50,2712.77,59.27,721.69
unit-4,55,2711.34,59.11,721.69
unit-4,60,2710.25,58.94,721.63
unit-4,65,2709.44,58.77,721.57
unit-4,70,2708.81,58.60,721.59
unit-4,75,2708.34,58.43,721.54
unit-4,80,2707.98,58.27,721.53
unit-4,85,2707.70,58.11,721.55
unit-4,90,2707.49,57.96,721.51
unit-4,95,2707.33,57.81,721.53
unit-4,100,2707.21,57.67,721.54
unit-4,105,2707.12,57.54,721.50
unit-4,110,2707.04,57.41,721.53
unit-4,115,2706.99,57.29,721.54
unit-4,120,2706.95,57.17,721.51
unit-4,125,2706.92,57.06,721.54
unit-4,130,2706.90,56.96,721.54
unit-4,135,2706.88,56.86,721.51
unit-4,140,2706.87,56.77,721.54
unit-4,145,2706.86,56.68,721.53
unit-4,150,2706.85,56.60,721.51
unit-4,155,2706.85,56.52,721.54
unit-4,160,2706.85,56.45,721.53
unit-4,165,2706.85,56.38,721.51
unit-4,170,2706.84,56.31,721.54
unit-4,175,2706.85,56.25,721.53
unit-4,180,2706.85,56.19,721.51
unit-4,185,2706.85,55.31,721.54
unit-4,190,2706.85,53.56,721.53
unit-4,195,2706.85,51.41,721.51
unit-4,200,2706.85,49.08,721.54
unit-4,205,2706.85,46.68,719.20
unit-4,210,2706.86,44.33,701.73
unit-4,215,2706.86,42.06,676.76
unit-4,220,2706.86,39.87,649.50
unit-4,225,2706.86,37.78,621.94
unit-4,230,2706.87,35.78,594.82
unit-4,235,2706.87,33.86,568.42
unit-4,240,2706.87,32.03,542.85
unit-4,245,2706.87,30.28,518.13
unit-4,250,2706.88,28.60,494.27
unit-4,255,2706.88,27.01,471.25
unit-4,260,2706.88,25.49,449.05
unit-4,265,2706.88,24.04,427.67
unit-4,270,2706.89,22.66,407.07
unit-4,275,2706.89,21.35,387.23
unit-4,280,2706.89,20.10,368.15
unit-4,285,2706.89,18.91,349.79
unit-4,290,2706.90,17.78,332.14
unit-4,295,2706.90,16.71,315.18
unit-4,300,2706.90,15.69,298.89
unit-5,0,2890.00,55.00,935.00
unit-5,5,2825.02,57.20,653.42
unit-5,10,2784.29,58.51,595.63
unit-5,15,2759.33,59.27,612.98
unit-5,20,2743.44,59.64,650.38
unit-5,25,2732.98,59.76,689.01
unit-5,30,2725.85,59.73,713.55
unit-5,35,2720.87,59.67,719.23
unit-5,40,2717.30,59.56,721.10
unit-5,45,2714.70,59.42,721.62
unit-5,50,2712.77,59.27,721.69
unit-5,55,2711.34,59.11,721.69
unit-5,60,2710.25,58.94,721.63
unit-5,65,2709.44,58.77,721.57
unit-5,70,2708.81,58.60,721.59
unit-5,75,2708.34,58.43,721.54
unit-5,80,2707.98,58.27,721.53
unit-5,85,2707.70,58.11,721.55
unit-5,90,2707.49,58.15,629.63
unit-5,95,2707.33,59.07,362.57
unit-5,100,2707.21,59.89,271.68
unit-5,105,2707.12,60.63,240.57
unit-5,110,2707.04,61.32,229.24
unit-5,115,2706.99,61.98,225.11
unit-5,120,2706.95,62.60,223.61
unit-5,125,2706.92,63.19,223.06
unit-5,130,2706.90,63.73,222.86
unit-5,135,2706.88,64.24,222.79
unit-5,140,2706.87,64.71,222.77
unit-5,145,2706.86,65.17,222.76
unit-5,150,2706.85,65.60,222.75
unit-5,155,2706.85,66.02,222.75
unit-5,160,2706.85,66.42,222.75
unit-5,165,2706.85,66.81,222.75
unit-5,170,2706.84,67.18,222.75
unit-5,175,2706.85,67.53,222.75
unit-5,180,2706.85,67.86,222.75
unit-5,185,2706.85,68.18,222.75
unit-5,190,2706.85,68.49,222.75
unit-5,195,2706.85,68.78,222.75
unit-5,200,2706.85,69.05,222.75
unit-5,205,2706.85,69.31,222.75
unit-5,210,2706.86,69.55,222.75
unit-5,215,2706.86,69.79,222.75
unit-5,220,2706.86,70.01,222.75
unit-5,225,2706.86,70.21,222.75
unit-5,230,2706.87,70.41,222.75
unit-5,235,2706.87,70.60,222.75
unit-5,240,2706.87,70.77,222.75
unit-5,245,2706.87,70.94,222.75
unit-5,250,2706.88,71.10,222.75
unit-5,255,2706.88,71.24,222.75
unit-5,260,2706.88,71.38,222.75
unit-5,265,2706.88,71.52,222.75
unit-5,270,2706.89,71.64,222.75
unit-5,275,2706.89,71.76,222.75
unit-5,280,2706.89,71.87,222.75
unit-5,285,2706.89,71.97,222.75
unit-5,290,2706.90,72.07,222.75
unit-5,295,2706.90,72.17,222.75
unit-5,300,2706.90,72.26,222.75
unit-6,0,2890.00,55.00,935.00
unit-6,5,2825.02,57.20,653.42
unit-6,10,2784.29,58.51,595.63
unit-6,15,2759.33,59.27,612.98
unit-6,20,2743.44,59.64,650.38
unit-6,25,2732.98,59.76,689.01
unit-6,30,2725.85,59.73,713.55
unit-6,35,2720.87,59.67,719.23
unit-6,40,2717.30,59.56,721.10
unit-6,45,2714.70,59.42,721.62
unit-6,50,2712.77,59.27,721.69
unit-6,55,2711.34,59.11,721.69
unit-6,60,2710.25,58.94,721.63
unit-6,65,2709.44,58.77,721.57
unit-6,70,2708.81,58.60,721.59
unit-6,75,2708.34,58.43,721.54
unit-6,80,2707.98,58.27,721.53
unit-6,85,2707.70,58.11,721.55
unit-6,90,2707.49,57.96,721.51
unit-6,95,2707.33,57.81,721.53
unit-6,100,2707.21,57.67,721.54
unit-6,105,2707.12,57.54,721.50
unit-6,110,2707.04,57.41,721.53
unit-6,115,2706.99,57.29,721.54
unit-6,120,2706.95,57.17,721.51
unit-6,125,2706.92,57.06,721.54
unit-6,130,2706.90,56.96,721.54
unit-6,135,2706.88,56.86,721.51
unit-6,140,2706.87,56.77,721.54
unit-6,145,2706.86,56.68,721.53
unit-6,150,2706.85,56.60,721.51
unit-6,155,2706.85,56.52,721.54
unit-6,160,2706.85,56.45,721.53
unit-6,165,2706.85,56.38,721.51
unit-6,170,2706.84,56.28,713.98
unit-6,175,2706.85,56.09,699.45
unit-6,180,2706.85,55.85,685.69
unit-6,185,2706.85,55.58,672.68
unit-6,190,2706.85,55.31,658.04
unit-6,195,2706.85,55.05,644.98
unit-6,200,2706.85,54.80,634.29
unit-6,205,2706.85,54.54,625.82
unit-6,210,2706.86,54.29,619.13
unit-6,215,2706.86,54.04,613.75
unit-6,220,2706.86,53.80,609.52
unit-6,225,2706.86,53.58,606.28
unit-6,230,2706.87,53.36,603.80
unit-6,235,2706.87,53.16,601.92
unit-6,240,2706.87,52.97,600.50
unit-6,245,2706.87,52.40,599.42
unit-6,250,2706.88,51.36,598.60
unit-6,255,2706.88,50.13,597.18
unit-6,260,2706.88,48.87,589.81
unit-6,265,2706.88,47.64,579.39
unit-6,270,2706.89,46.48,568.27
unit-6,275,2706.89,45.39,557.38
unit-6,280,2706.89,44.38,547.10
unit-6,285,2706.89,43.43,537.55
unit-6,290,2706.90,42.55,528.75
unit-6,295,2706.90,41.72,520.64
unit-6,300,2706.90,40.94,513.12
